Name,Company,Organisation Number,Country,Region,GeoLoc,ND,CVV,HH
"Vance, Belle P.",Mauris Inc.,56686514099,Timor-Leste,Gävleborgs län,"-45.68092, -121.81811",0.1914195763,426,C06A0C02-FDBE-ECBF-5207-9BE079664A2A
"Marks, Francesca W.",Ridiculus LLC,36571283099,Dominican Republic,Quebec,"19.73263, 178.48087",-0.1150650398,239,41C842D9-8862-A954-5E75-71FBFD21F6BC
"Cole, Priscilla P.",Amet Faucibus Ut LLP,76435410999,Viet Nam,HE,"-76.44201, -104.25581",-0.3002613052,400,3B7344D8-91D1-45CD-EE3E-D2AEA0612FCB
"Delgado, Jack U.",A PC,58425129899,Djibouti,Nord-Pas-de-Calais,"-87.2894, 9.10572",0.1939757157,199,2084EEC6-0B09-8D43-CB04-328E025782E3
"Mcintyre, Amir Y.",Mollis Duis Sit LLC,68650196099,Argentina,HH,"39.67221, 39.28006",0.1553587282,673,ABC33F7A-1156-8E58-671C-7513D4525194
"Mayo, John X.",Sed Company,61589766399,United Arab Emirates,Victoria,"-48.76534, 121.61399",0.2026716278,713,C3E498B9-F5DE-3CCC-1005-D52A0F0D4335
"Salinas, Alexander I.",Et Magnis Dis Consulting,50550295099,Comoros,NA,"75.85489, 12.97025",0.1238026659,114,2BDB58EC-1E60-90FC-07FD-CA7514356D70
"Kirkland, Fuller E.",Quisque Libero Lacus Limited,12372766499,Marshall Islands,SJ,"37.14056, 81.27856",-0.4195784174,643,9044C634-F20A-8165-FC3C-EB138CCC08EE
"Sutton, Sage X.",Dui PC,66448194899,Philippines,Biobío,"18.49655, 4.90402",0.0169650543,437,EB89EFC1-70E8-6F07-F524-3DB51707F609
"Rutledge, Xander W.",Vel Faucibus Id Corporation,00693006199,New Caledonia,Gl,"-8.08801, 33.57359",-0.1747479904,501,2993EA06-19A4-8F3F-1473-D9A0E055CDCE
"Macdonald, Libby M.",Magna Sed Institute,70451322099,Guadeloupe,Quebec,"-41.26727, 136.18415",0.181567947,336,A45C289B-D6A7-E6AD-579A-6F6C1D0D3F84
"Soto, Rinah F.",Neque Sed Dictum Ltd,48315768699,Andorra,Ontario,"49.43908, -38.04404",-0.2016944633,464,0A9685C4-0F74-165B-3468-B2E0F44D5359
"Martinez, Amery G.",Ipsum Inc.,39628930999,Gabon,Mazowieckie,"-80.66121, -89.69843",0.3867880458,633,AEA3B3BF-1270-9B0C-805C-4DE1E6E33665
"Conley, Nathaniel M.",Cursus Associates,81473353799,Vanuatu,VIC,"57.56565, -29.59018",-0.0057071545,684,26259FE8-DBEF-1DBD-BB63-51A5342E367E
"Macias, Delilah R.",Sed Ltd,70800492199,Estonia,SI,"82.09275, 20.87495",0.2470193036,726,A105C6B5-E2E9-D391-07DA-C77BED7D9056
"Horn, Tasha D.",Ac Mattis Foundation,82901008199,Spain,NI,"22.84072, 116.59897",-0.2126484302,265,BCF4AB27-167F-2EAD-0CAC-37835BDC50B3
"Hickman, Erica S.",Vitae Odio Sagittis Corporation,64539973199,Timor-Leste,NO,"46.79414, -16.19144",-0.2148369193,988,84D2E11E-45A9-6C73-64CB-936BDB0EDC89
"Rosa, Leila K.",Adipiscing Institute,87446624999,Italy,MG,"-16.54705, 119.68952",0.0776810259,718,A38DE090-C8B6-4FCD-3FC0-D9A9A30F73BF
"Moran, Judith T.",Ultrices LLP,44974308599,Philippines,E,"-33.65294, 113.58205",-0.1246255101,982,60FFA323-FDDF-9889-D96E-4AD3FA6FE34B
"Cummings, Kareem R.",Erat In Consectetuer Inc.,03658430699,Samoa,Castilla - La Mancha,"44.33005, -26.20162",-0.0404798379,753,BD6CA5CF-4EEB-791B-7E02-D53D28758F61
"Marshall, Chanda W.",Ornare Institute,79909005099,Bouvet Island,RJ,"15.85003, -13.19697",0.162961736,415,0E397253-1B7C-D4C5-75D3-64DCBCD0009E
"Griffin, Lars I.",Dui Incorporated,12785389999,Puerto Rico,Styria,"26.30113, -55.8273",0.193585547,886,218CE036-01A1-071C-982B-BAE3B2AF4A9E
"Nunez, Sylvester V.",Facilisis Eget Ipsum Ltd,84437944499,Antigua and Barbuda,Leinster,"-30.32305, -104.12727",-0.2794855671,616,95582D3D-DE68-9673-5308-F640DCED1D15
"Petersen, Clio H.",Interdum Ligula Ltd,85712650599,Moldova,Lagos,"34.96874, 62.99471",0.0936520564,386,F4D59829-EF5F-A2AC-8C8A-6F54E8C9CDF4
"Gross, Evangeline A.",Morbi Vehicula Pellentesque Company,12770585699,Chad,Istanbul,"49.05684, 29.2962",-0.1690563951,708,CD0DFDD8-7F93-324E-68DA-B926888382F2
"Williamson, Abraham P.",Amet LLP,84510645499,Portugal,NSW,"-12.75903, 74.01659",-0.4224349663,702,614B2457-CE37-D3AD-637B-09D872F05260
"Dawson, Cameron P.",In Magna Phasellus PC,09982489999,South Georgia and The South Sandwich Islands,Małopolskie,"-80.11229, 96.85368",0.4804080075,230,9951F5DD-7E49-BAC3-B26C-6BF893390093
