Name,Company,Organisation Number,Country,Region,GeoLoc,ND,CVV,HH
"Cline, Regan B.",Enim Mauris Quis Corporation,10706315399,Togo,SL,"2.14776, -42.53259",0.0662750596,382,312BCAF7-0283-0F27-3646-529588A870C2
"Curry, Libby R.",Pellentesque Industries,27677817899,Indonesia,Minas Gerais,"36.9363, -28.36346",0.0660564671,912,4FF8F66A-E8F2-FE2D-7411-E2D2A603A2FF
"Watkins, Adele N.",Natoque Institute,51317338299,Norway,Istanbul,"-40.59092, 167.29525",-0.340689967,782,4FDCD93D-9D23-ACBD-3163-837AB24B3892
"Forbes, Shad K.",Fringilla Porttitor Associates,58874442699,Kiribati,Metropolitana de Santiago,"6.28822, 162.87561",-0.3285450567,123,2B7502B9-7588-0D17-1795-7A7B536DBBBC
"Guerra, Sasha B.",Ut Ipsum Ac Incorporated,86312698799,South Africa,SK,"28.37459, 70.38276",0.2068354019,889,3B9FDCBE-0DCD-4A14-F0CB-A9A1C8E37B51
"Talley, Sierra J.",Sit Amet Inc.,98630686499,Liechtenstein,North Island,"64.33347, 22.0856",0.0066706907,676,1F5C381D-F1DA-F9C9-6667-F56EB868F8CE
"Donaldson, Cally U.",Tellus Nunc Company,06270086899,Kyrgyzstan,Wie,"30.54018, 61.51597",0.2397499125,241,3B570284-613F-FFFB-6D72-4E1154A1879B
"Mcdowell, Ralph B.",Sit Amet Consectetuer Inc.,48399428099,Somalia,NSW,"14.02176, 162.37399",0.0948228278,175,16630F49-B081-E79B-1863-EEAE390F513F
"Hammond, Quinn V.",Venenatis Associates,80935041899,Swaziland,Connacht,"78.65316, 95.9537",-0.2807550042,624,B9F7E1DF-E12F-3D3E-ACDB-8D15DDCB93DE
"Baker, Gil K.",Amet Diam Limited,19258292199,Mexico,Gävleborgs län,"48.73937, 153.54351",-0.1830070717,348,1B70C8F3-29B4-B658-4F8D-BF91E3B1591A
"Chaney, Anjolie I.",Vel Nisl LLC,24787116499,New Caledonia,West-Vlaanderen,"80.5058, 83.08516",-0.3843670544,485,1CB0C9B0-5189-F789-E0E4-1A1497CB3E02
"Baxter, Basil W.",Nisi Sem Semper Consulting,44680797699,Netherlands,SO,"-9.54876, -93.58915",-0.0294055455,752,F405AFEF-E93D-6C1C-728B-D8C378DB0852
"Dawson, Melinda I.",Adipiscing Elit Incorporated,87424833199,Italy,Noord Brabant,"9.02309, 148.34335",-0.1826376884,426,23E4DE7A-8784-CCC1-3813-A81FE5FCEF3E
"Rodgers, Allistair C.",Sit Amet Limited,01932049699,Dominica,İzm,"80.86213, -138.0559",0.1423795602,263,1028032A-C6A9-DFA5-5DBA-BB21ADF44961
"Petty, Zia C.",Maecenas Ornare Egestas PC,75438259799,Taiwan,Quebec,"20.63318, 160.38674",0.0647853712,940,71B68692-1106-1EAF-9D4B-89930157224C
"Norman, Nell O.",Eros PC,30770684999,Cambodia,UP,"-86.51492, -36.52504",0.2646223522,576,BF838FC1-CC35-1CB7-DDBD-F2A9980C79D2
"Dillon, Abel A.",Lorem LLC,47821153299,Guadeloupe,Orkney,"72.94751, 103.55359",-0.5338115902,662,F0CA2432-3451-AC86-AE80-6E16DCE86A57
"Church, Azalia H.",Erat Semper Rutrum Corporation,40941072299,Venezuela,SU,"-46.50614, -79.03002",-0.1855868602,367,63FE61FA-51FB-7A82-54DF-49A27E4F7C9A
"Kerr, Austin V.",Sagittis Augue Eu Corp.,46349520099,Belgium,Cartago,"32.47555, 101.50216",0.1457819782,681,996B2C54-3C29-19C8-0BE0-821660594909
"Vega, Quinlan D.",In LLC,66988104599,Marshall Islands,BU,"2.65583, -145.50076",0.4321033269,385,09311C0D-9590-F48A-2B0C-326564BC412F
"Calderon, Octavius P.",Suspendisse Commodo Tincidunt Associates,95281240099,Sri Lanka,Bavaria,"42.52011, 63.54167",-0.4279081175,901,017F71DB-EF7F-0BE9-A7F9-7A8A9540ECD8
"Mayer, Kameko W.",Phasellus Libero Mauris Corporation,49418641699,Argentina,BU,"-84.82447, -116.13244",-0.1613229334,810,C9267E97-A37F-3F64-106A-B27B7DEF36E9
"Wooten, Dorian I.",Hendrerit Associates,05331731999,France,Imo,"69.97243, 126.55651",0.205084106,757,7ED83881-97A8-A0DC-CA93-84C38A7B9414
"Porter, Bruce G.",Praesent Institute,91479356899,Mongolia,U,"22.28318, 55.66462",-0.0058368112,719,87146E89-AA68-89ED-7441-B7ED6D32C7C9
"Bowers, Sharon C.",Tellus Id LLP,92308332199,Bermuda,AR,"-40.37626, -167.42976",0.2444510826,469,1932E970-4A50-FD33-E446-5B959FACF546
"Mcgowan, Mikayla J.",Interdum LLP,99240955899,British Indian Ocean Territory,Dolnośląskie,"-88.3423, -84.2673",0.2272256451,636,691D72B6-9877-8495-19FB-C25B85321079
"Warren, Deirdre T.",In Incorporated,00393148899,Sri Lanka,ME,"-47.39515, 137.20002",0.4134081651,337,6ABD00FE-1BBE-A0A9-866B-6E887345F46D
"Sullivan, Chaney W.",Eu LLC,06228586299,Turks and Caicos Islands,SP,"37.45474, -24.22917",0.1523721323,458,2EE0C09D-A8D4-1BF4-947C-011D4197276A
"Benton, Dexter R.",Interdum Libero Company,60497684199,China,Heredia,"-76.01162, -153.76391",-0.025070955,707,4560EADF-C3F1-F155-20E6-A8C11C77928C
"Moses, Jasper J.",Tristique Senectus LLC,35460076699,Slovenia,BA,"4.63248, -12.10853",0.1642178211,511,EC1F3CD6-DAA4-D677-1C15-5D2369807EE0
"Bryant, Cairo U.",Interdum Sed LLP,18576318399,Estonia,Haute-Normandie,"4.44427, 66.29986",-0.1689760615,503,5BE42105-B8E9-E724-15E6-131200038DB1
"Hanson, Keelie V.",Suscipit Est Corporation,55822187599,Philippines,Leinster,"3.80848, -69.4537",0.0739186259,971,02A77DA8-6348-D563-C240-154FE4E974CF
"Macias, Kalia O.",Mauris Ut Mi Industries,99508817799,Palau,UP,"-36.41257, -83.79734",0.148545112,879,E3C70281-2309-611C-EA12-A592B9CA3050
"Petty, Cynthia F.",Ligula Company,03219780799,Moldova,Jönköpings län,"-52.95523, 20.30704",-0.1657284442,290,6A8051C7-C404-5921-F28E-28B7A6428298
"Martin, McKenzie I.",Semper Pretium Neque Industries,35957137699,India,Trentino-Alto Adige,"33.86356, 84.69863",-0.254341285,366,FE267721-62FB-3AC4-8B43-0E0216704BF8
"Rose, Robin S.",Hendrerit Id Ltd,23519923899,Peru,Ontario,"-42.07985, -158.16968",0.261838753,925,02E95BDE-D07E-11F7-7774-C2507D1C89FC
"Vasquez, Carly S.",Condimentum Eget Volutpat Institute,06914404899,Uruguay,Ankara,"-18.54756, -72.77837",-0.1171544969,742,C986CF62-9AA2-7497-D349-56C983AE910D
"Wong, Sybill J.",Sed Company,69361355499,Lithuania,Nord-Pas-de-Calais,"56.44278, 48.05534",-0.1497620272,406,C3A429BC-EE33-0EB8-39E2-7B5132377239
"Villarreal, Leonard R.",Bibendum Sed LLC,37743114099,Falkland Islands,Paraná,"-85.925, -176.10034",-0.0254699903,569,CBCBD2CF-CDC7-332A-A287-86F34347B221
"Collins, Madonna V.",Ultrices Institute,61234047699,"Saint Helena, Ascension and Tristan da Cunha",Nord-Pas-de-Calais,"28.79497, 83.16874",0.3228066989,441,AF22CDBE-FBB7-8658-A34B-45E201CF2350
"Whitley, Quyn H.",Pede Malesuada LLC,91991466599,Åland Islands,Stockholms län,"83.39765, 100.65344",0.0947154927,488,01B4BD72-28E3-3317-7E08-E0723F16CEB9
"Knowles, Ashely X.",Mollis LLP,45728586199,Lebanon,Limburg,"-89.46347, 168.64658",0.3733015448,212,30F95462-ABA1-9E24-E332-1E1A1932DBAB
"Mckenzie, Alden V.",Primis In Faucibus Foundation,44397613999,United Kingdom (Great Britain),Ontario,"85.53015, 161.23814",-0.003261888,654,CE86AFEE-618A-1ABE-56CD-29A5885D9B32
"Foley, Stone Z.",Pharetra Associates,23587693599,Sri Lanka,Stm,"21.59081, 135.52902",-0.4866573417,136,3E90FDCA-B4A4-C6A4-2B18-1DADEB416D90
"Weiss, Hollee U.",Lorem Ut Incorporated,41674780999,Papua New Guinea,BR,"28.61829, 116.53289",-0.3804759261,820,16FCEB93-229B-FA71-4C9A-571B49826E4B
"Sweeney, Ian L.",Faucibus Ltd,30999401599,French Southern Territories,Adana,"58.39699, -64.6963",-0.2011844409,924,BAC8D71B-5911-5FC9-35CE-7C2F98F64678
"Castro, Amal B.",Neque Vitae LLC,40981155499,Tuvalu,Zeeland,"-48.2575, -157.42249",0.1290226569,776,E2DFDA4B-4E67-7D73-E1F3-4FAB84FBE433
"Garcia, Henry N.",Odio Etiam Ligula LLP,99227039199,Honduras,SJ,"-27.99448, -110.95155",-0.1380114748,148,206402CC-EE10-5A7E-BD78-91469C68216F
"Schmidt, Sydney T.",Nec Metus Institute,71425571599,Guyana,MH,"25.96724, -179.72811",0.0770404035,690,B7BBBE96-A5A1-8E4F-F3DC-09844C512F57
"Shepherd, April P.",Arcu Incorporated,31857304099,"Korea, South",Haryana,"-41.75549, -81.1272",-0.3839356851,118,B7045221-750D-F9BA-82A2-794E64990A92
"York, Bernard L.",Vitae Incorporated,74654599399,Solomon Islands,MN,"13.95967, 64.91607",-0.3272620052,401,7D93BDF5-BAC3-C643-7B02-4F0C34375918
"Woods, Kaye R.",Eu Erat Limited,68489305199,Lithuania,ON,"-80.30505, -113.72879",0.1242827846,915,117B2070-37D1-A482-678F-D48484A0BC7C
"Long, Ferdinand H.",Interdum Sed Inc.,78509945999,French Polynesia,Paraná,"15.95229, 156.54619",0.1803641506,219,23731B24-6A12-0799-676C-77787925E9B6
"Joyner, Myles K.",Consectetuer Ltd,45562820799,Swaziland,HB,"46.2447, 132.45683",-0.3458780043,666,2C98AD20-A41F-F3AA-5682-102A0BFA1EE2
"Hurley, Price V.",Purus Sapien Gravida Industries,40465645199,Falkland Islands,Queensland,"64.34179, -19.8396",-0.1346114761,454,76950223-7D1A-A2B8-7733-14FEDFC4C815
"Velez, Mallory S.",Ligula Donec Company,27659479299,Sri Lanka,Vienna,"-83.59345, 131.1626",-0.4869292474,228,BB8AABF9-ACE2-4C84-4519-E5D067268F4F
"Clark, Elaine Z.",Eget Laoreet Posuere LLP,75469283999,Central African Republic,Wielkopolskie,"-20.21561, 117.81632",0.0479047778,325,0796FBF8-A7FE-1019-2112-CAD90A88CE18
"Floyd, Aimee T.",Elementum Dui Associates,12832395599,Curaçao,MA,"-18.78076, 138.79257",0.379022073,681,FF1FB761-9841-06E2-6A90-22E87C313107
"Cooley, Pearl G.",Rhoncus Nullam Incorporated,70233095299,India,Galicia,"-40.23537, -142.24971",-0.1186769317,607,B211BB32-348F-0993-1A32-BB7E228CB14A
"Reese, Venus L.",Nisl Incorporated,87868795199,Niger,Wie,"48.19248, 32.82699",0.1537595044,943,040AEC8F-5B96-5498-B5E3-0621A4DE6F7E
"White, Adena G.",Sagittis Nullam Vitae Industries,99990582999,Malaysia,NW,"14.98967, 57.73455",0.0101963559,442,6CB605EE-ECB3-7813-F228-821852A4452F
"Roberts, Jael D.",A Tortor Institute,17885824199,Greece,Jönköpings län,"38.48089, 102.8416",0.0399858698,945,CFD0B508-E888-8DDA-F615-9637FE659792
"Dunlap, Marsden V.",Netus Et Incorporated,71475706199,Benin,North Island,"-65.0506, 93.03058",0.0517983343,824,9F3BF56B-5017-9FC7-C08D-00516E5C0AA1
"Newton, Wade U.",A Company,73435177099,"Korea, South",Bremen,"6.96951, -19.79405",-0.238902644,229,BB9A5984-9845-B12C-461B-5CC7D98836C4
"Garner, Faith U.",Et Ipsum Cursus PC,93452267299,Åland Islands,NO,"-35.20029, 140.30617",0.1208530922,791,3EC06251-044F-C829-3842-F29395BC3CEC
"Perry, Doris X.",Tincidunt Associates,76325633899,Bermuda,DO,"0.67564, -17.88349",-0.6274259023,882,C2BA1DA4-6F8D-51FB-74F1-447834B40980
"Marshall, Jerome A.",Luctus Et Limited,16958040099,Côte D'Ivoire (Ivory Coast),FVG,"-29.26515, -177.40147",0.1447603088,202,AC2D3CA4-12F0-3FC8-FAF2-47FB1FCCA671
"Benjamin, Dean G.",Eu Euismod Institute,18253060699,Bouvet Island,Ontario,"1.14333, -173.92799",0.0226926447,465,AE9AE2CC-6BE7-6BA8-9203-D9F93411B6B0
"Rutledge, Oliver H.",Et Ipsum Foundation,93256468799,Croatia,Vienna,"69.39436, 122.01453",-0.0344476294,377,932E2C76-3347-3E3E-F10D-62ECA703A660
"Burgess, Sawyer P.",Fringilla Mi Lacinia Corp.,11676161799,Pakistan,Alajuela,"72.0242, 41.81899",0.0436859137,462,1CBC13E2-5A5B-7764-E451-5319C5BF2840
"Vazquez, Kibo P.",Sit Amet Corporation,23302253299,Guernsey,Oklahoma,"-49.72318, 3.40253",0.0529812504,331,BE98CA9B-82AC-9DF2-64E4-6EF2B5EB2AE2
"Chan, Yeo I.",Vestibulum Lorem Limited,67909957899,Comoros,LI,"21.9721, 36.72071",0.0509813605,391,F3A98F48-650D-D6FE-2F79-A574E91371D2
"Ruiz, Hadley W.",Vel Limited,62213479599,Japan,C,"13.45566, 57.31282",0.1462447627,623,85A0A816-81E9-3391-020E-BF9A0EC32567
"Salas, Janna O.",Amet Limited,50294195299,British Indian Ocean Territory,Hamburg,"50.8638, -40.61968",0.3599991007,871,38867190-AB94-9F04-C3F9-22581506A5D7
"Hyde, Bernard M.",Elit Sed Corporation,83745925999,Belgium,NE,"-83.3604, 164.44866",-0.0778092201,130,4A399CA4-8A5B-C559-8E6E-CEB598E5B890
"Mcmillan, Zephr K.",Lacus Company,19233104599,Liberia,PD,"-65.90057, -42.12146",0.2136260644,829,927114F9-9D63-B5F8-BD49-0C5B07498263
"Salinas, Blake C.",Auctor Odio Institute,73823453099,"Virgin Islands, United States",Leinster,"86.40014, 34.10432",0.0391925415,274,D927380C-913D-15EA-232F-2DC921CB72B0
"Cole, Taylor L.",Dui Fusce Diam Consulting,39622868499,Kenya,Madrid,"62.57292, 0.29856",0.4589629131,926,117327AA-E22F-6C9F-13EF-AFE17990C8E2
"Hood, Meredith O.",Dolor Sit LLP,45583431899,Turks and Caicos Islands,São Paulo,"43.44141, -167.7287",0.0958247428,299,58C441F8-A555-6E78-01FD-36D1FC224B05
"Owen, Roth K.",Dolor Fusce Feugiat Foundation,80863502999,Suriname,Wie,"16.78495, 128.63353",0.3518304141,947,381338BC-B636-C87A-F302-4EF886AD2D47
"Hanson, May Y.",Netus Ltd,40514016399,United States Minor Outlying Islands,Sląskie,"-31.9565, 128.60243",-0.2938526117,485,666E6B97-EFF9-C45E-8EE7-AFB5209E4A15
"Madden, Iola E.",Ut Nulla Cras PC,58519665999,Sri Lanka,MH,"65.37337, 36.41088",-0.2112995221,855,5AF716EF-1D1B-7A57-8BA0-95D14A0CAD00
"Myers, Devin P.",Integer Vitae PC,25960750499,Benin,PB,"-57.24135, 136.97208",0.1004123184,489,6BDBB82B-C885-3F57-F48E-F502BCFC04DA
"Camacho, Tallulah L.",Ac Associates,89918037999,Falkland Islands,Bur,"-6.02707, 158.86033",0.108949869,594,405E27E3-7D0A-38E4-B202-7D6CA7A5769F
"Powers, Hoyt H.",Et Company,31801537499,Dominica,Pays de la Loire,"-27.20859, -167.62209",-0.1023045002,236,61E30535-3142-F8CF-73D0-E26377B9081E
"Bryant, Conan U.",Pellentesque Massa Ltd,40832666999,Honduras,RM,"-78.41576, 159.41443",0.0036272653,779,8E81BB78-B978-1DDC-9246-6993774A9F9F
"Horton, Rogan G.",Eget Ipsum Suspendisse PC,35439780299,Romania,Baden,"87.19811, -12.11292",0.0549814716,656,EB6D7399-4A31-E374-C0C3-11FC50DB902F
"Hopper, Lee H.",Lacus Vestibulum Corp.,10560772499,Sweden,Oxfordshire,"-86.10662, -33.16937",0.0351017984,790,09CBAFF2-5B82-B104-8571-5B9F3A2A2EA9
"Raymond, Carly T.",Euismod Company,75827638099,Namibia,Kah,"17.29411, 22.50071",-0.0953158405,994,0D82EFB3-C8FC-61BB-8D11-AAC6481E569C
"Lucas, Ignacia Y.",Nunc Ac Mattis Industries,32867888699,Liberia,Istanbul,"-8.0565, 76.9214",0.112359613,531,D45C7C20-1BB4-601C-718F-2922C0973D86
"Hooper, Keegan F.",Sodales LLP,84409602499,Oman,Nevada,"50.05205, -54.52388",-0.0405314479,319,587C54F4-733A-EBFA-6C51-1BD5782D651E
