Name,Company,Organisation Number,Country,Region,GeoLoc,ND,CVV,HH
"Glover, Daphne W.",Nulla Semper Tellus Incorporated,91651799999,Togo,QC,"-64.50277, 85.75744",-0.2661541537,616,1BFDF5DD-7588-6596-A958-8C27D2B44F4C
"Davenport, Emery Q.",Aenean Egestas Hendrerit Limited,49363360299,Sweden,NV,"25.13957, 78.13158",0.0383878561,278,CA75DAE3-BDB5-8556-314A-1E153A3EE67D
"Albert, Leandra M.",Mus Aenean Consulting,48870851099,Fiji,M,"-26.97285, -177.68401",-0.1368548316,806,C914CCDC-F756-AE95-EFDE-2DD158304310
"Bentley, Victoria Z.",Metus In Lorem Company,50329585999,Bosnia and Herzegovina,Canarias,"45.76032, -35.55706",-0.0899050814,486,9A0DBF86-B9C7-8C3C-6EF8-D4F749F29E11
"Olsen, Levi V.",Elit Etiam Foundation,08614462399,Bosnia and Herzegovina,Berlin,"-2.11334, 10.55559",-0.0252749704,450,700F5120-E6DF-81B5-63CC-4E1020455A9E
"Cardenas, Tatyana K.",Nullam Lobortis LLP,17819167699,Mongolia,C,"-52.82247, 45.16768",0.312792733,238,FA3C2EB0-41CA-4200-8F0E-D0A80549A2D5
"Salazar, Sylvester A.",Nec Cursus A Institute,98925686999,French Southern Territories,San José,"71.96541, 7.72622",-0.104417321,938,0D797085-18AE-B8CA-F103-9D412AE98C2F
"Clark, Justin D.",Mauris Suspendisse Aliquet Consulting,31618346499,Portugal,Catalunya,"43.15471, -153.92851",0.319691928,542,F7FB9A90-9676-8283-6DCA-104AE379F614
"Holt, Hilary L.",Integer Vulputate Risus LLC,15711215899,Saint Vincent and The Grenadines,Ontario,"-22.05416, -124.42603",-0.214965081,936,7AD3B499-FE81-A4B8-B2CB-DA0ECBC4A34D
"Kennedy, Adam U.",Egestas Duis Industries,01686192699,Tunisia,Ank,"-50.65033, -151.65003",0.0010181433,611,C8BF5984-EAFA-A2D1-0FBD-7A14E491C386
"Foreman, Danielle L.",Sit Consulting,01596287699,Tonga,Leinster,"51.53184, 11.75204",-0.2655608877,915,662BD0CC-6568-046F-2702-6C9ADA0087CF
"Cruz, Bianca I.",Aenean Euismod Mauris LLC,77305183899,Nicaragua,Alajuela,"0.24403, 175.38548",0.4465306087,972,E6485DA2-E143-60D7-6EE6-768609F826F6
"Kane, Evelyn D.",Auctor Vitae Aliquet Incorporated,84448884199,Cocos (Keeling) Islands,Minnesota,"58.6672, 15.26464",0.0358210221,289,752CE5BC-8F3F-63BF-7460-B20FD8CFFC14
"Hurley, Justine E.",Aliquet Metus Industries,18431505899,Gambia,BO,"-28.81437, -154.00203",0.0201640155,382,499E6C90-EFCA-FAA3-161C-29128AB4EB93
"Burris, Conan Z.",Venenatis Incorporated,21644789699,Swaziland,Jönköpings län,"37.60937, -178.12187",-0.1470817802,302,62B136BC-EE8A-E59A-FC4E-1E02BC4729F6
