Name,Company,Organisation Number,Country,Region,GeoLoc,ND,CVV,HH
"Pittman, Denton D.",Nisi Dictum Augue Associates,30639102399,Guinea-Bissau,Heredia,"62.26067, -179.5464",-0.0643351147,931,0F598863-55A6-5FAD-AACD-E9F690828E8E
"Moran, Nayda R.",Mollis Consulting,35926591699,Barbados,MI,"-16.54175, -172.83542",-0.312478349,474,CA1A6A26-0F14-FB8F-DA24-3A9CC17AEC45
"Valentine, Nigel O.",Condimentum LLC,72687681899,Iraq,Bgl,"-16.13234, -174.65189",0.1450812635,951,102C7AA3-E940-C353-146F-FFC6A63BEDD3
"Kemp, Inga Z.",Tortor Nunc Commodo Consulting,16438802399,Faroe Islands,Uttar Pradesh,"77.6749, -7.25605",0.1282930774,593,057B2251-78A3-9FAC-3025-04951ACEDB0A
"Sims, Merritt Z.",Fusce Industries,97422690999,Netherlands,Los Lagos,"-82.37331, 151.39499",0.1874093288,421,F373C643-399D-BE97-4D93-10DAFB011E53
"Johnson, Cleo R.",Sem LLC,39333840099,"Virgin Islands, United States",WP,"-68.70733, -134.49425",-0.6810633522,788,1C63011F-1A7F-3D8A-3C7A-95CFA42779C5
"Sellers, Meghan N.",Gravida Industries,16226697199,Vanuatu,VIC,"5.07265, 62.24392",-0.21605712,218,9FD7B14F-17EA-2ACC-4337-72D00570975D
"Ray, Gareth B.",Sit Amet Consulting,07279557699,Kiribati,Bedfordshire,"10.41576, 6.72345",-0.2370403668,529,067327DF-2796-12B3-51D4-A7AC8D9A6A26
"Marshall, Chaim B.",Penatibus Et Incorporated,14350131799,Botswana,C,"34.13159, 79.60944",0.0019839471,796,E8573A5D-CD3F-74A0-7236-2B71C344FC51
"Nunez, Drake S.",Tincidunt Vehicula Foundation,54511366399,Tanzania,AB,"6.44866, -70.92688",-0.0992994322,636,9AC55786-740D-8815-27DA-5B6513AEF7D8
"Newton, Plato D.",A Scelerisque Institute,37947643199,Cyprus,Rio de Janeiro,"-67.2082, -41.21534",-0.2126071697,778,7151FCF3-051B-0053-9BE8-672302671FF5
"Black, Julian J.",Curabitur Associates,14465590799,Iraq,WV,"-61.56643, 42.20443",0.219686523,467,8EABC165-44F4-EF46-9E53-94AB279CB544
"Glass, Dean N.",Hymenaeos Mauris Inc.,86500348799,Hong Kong,Västra Götalands län,"1.63991, -170.67993",-0.0107740107,241,40DD9637-C9E5-7C75-2F28-2FE8DA9938BB
