Name,Company,Organisation Number,Country,Region,GeoLoc,ND,CVV,HH
"Parsons, Kaden J.",Odio LLC,89946506999,Somalia,BC,"85.81593, 92.25837",0.1715565214,689,CFB88DDE-B145-C1B1-8E9D-7C5631B934E9
"Rowe, Edward V.",Cum Sociis Corp.,91337472099,France,BE,"81.72611, 172.9661",0.1329954702,913,45FC57C1-BAC4-DB57-7B33-049BF88C7347
"Torres, Nita R.",Ut Company,15664611399,Kenya,GA,"-11.27011, 9.08244",-0.2297278939,141,DEB679DA-BCB0-B924-F385-392DF6BBBE43
"Vinson, Jaden J.",Risus Morbi Industries,79535422499,Saint Pierre and Miquelon,MV,"-7.72814, -29.64614",-0.2179226574,584,92AA1375-006A-3E78-70DC-E65837169D74
"Yates, Bertha S.",Aliquam Adipiscing Lacus Company,61499125199,Panama,Nevada,"-59.00377, 71.41528",0.2189317433,684,6A3CBBE3-E239-C1F3-4A24-72785D76AE5B
"Webb, Gloria S.",Lectus Justo Eu Corp.,60516682799,Nauru,CAM,"-50.10919, 154.3195",-0.0166983477,707,6E5F0A6B-AA6D-D8E7-3EC6-D2757148EB29
"Nguyen, Melissa U.",Hymenaeos Institute,63261600799,Turkey,Ontario,"-46.92974, 155.77988",0.0482386373,784,E5C7C443-9D94-5756-76BE-014FEFDD8853
"Golden, Iliana H.",Nisl Maecenas Malesuada Associates,33423671199,Equatorial Guinea,ZP,"-38.13165, -7.32525",0.1606258929,429,954B40F1-C6BE-E095-EBFA-2574FB7BB8F2
"Gray, Darius D.",Lacus Ltd,08628344099,Martinique,O'Higgins,"0.12326, 84.80805",0.2708810376,754,65823C6C-D006-0F89-D4BA-49DCC14CE916
"Maxwell, MacKenzie O.",Vehicula Risus Nulla Corp.,50200195299,Denmark,New South Wales,"-10.27144, 164.11492",-0.0813536864,372,15A726B7-1183-5298-85D6-25431549B6F0
"Bell, Xavier K.",Nec LLC,12658348999,Mayotte,OR,"8.00618, 160.00911",0.0314991815,690,699B7A62-F2B1-FC5C-1CFF-017C1392559F
"Rose, Joseph P.",Malesuada Vel Convallis Incorporated,86977907199,Ecuador,LA,"72.71005, -39.2922",-0.0517948682,726,96E7D139-7ED5-F96B-20F2-7EBC5AB7084A
"Brady, Alma U.",In PC,99582370999,Papua New Guinea,Pomorskie,"-84.24841, 132.40252",-0.3471833262,520,DB3ADE1B-79CD-62BB-86B3-B72BA02504A1
"Hendrix, Herman J.",Nisl Arcu Incorporated,68237376599,Antarctica,Pomorskie,"4.33978, -60.01104",-0.1278898047,620,A2CDCC74-3BE9-F4A0-659B-D7CAAD9FC48E
