Name,Company,Organisation Number,Country,Region,GeoLoc,ND,CVV,HH
"Fowler, Lael Q.",Aliquet Ltd,55352123599,Norfolk Island,KT,"34.32578, -45.12708",-0.0456079983,386,97B1A77C-027C-928E-2A18-613D801ACD76
"Pitts, Abraham A.",Cras Dolor Dolor Institute,14881659399,Liechtenstein,Balıkesir,"15.65258, 63.96224",0.2881852959,694,EF1F142F-5B3E-6347-DFE3-6F416AFDCE9C
"Ramos, Brandon C.",Nisi A LLP,53455457699,Mauritania,V,"53.34348, -70.0373",-0.4231611207,566,8E006B16-B584-EB35-E921-A93BF2D43C71
"Mcguire, Prescott M.",Nostra Per LLP,63272516799,Macedonia,JH,"46.92471, 38.18479",0.0553765385,603,A3062EAC-67BE-48DB-4CED-F60E3DD96BB2
"Jenkins, Samantha Z.",Quis Institute,95237010099,Malta,AS,"-73.27791, -80.4656",-0.3830924567,635,2AE78632-3008-E580-CF5C-7E9F6BAD5522
"Nguyen, Jana N.",Sem Vitae LLP,76700510399,Mauritius,MU,"-6.06357, 105.53164",-0.0711329473,848,8B95F260-7A36-6B53-098A-9CE80E3975C9
"Sutton, Claire Y.",Enim Commodo Hendrerit Industries,33324453299,Mauritania,WI,"69.71689, -91.51617",0.0820669679,739,8E49674E-F3C2-D041-5F60-1C1746370C3F
"Boyle, Brennan N.",Mi Lacinia Mattis Associates,42688451899,Macedonia,Alabama,"14.16489, 147.33914",-0.2939685684,984,666C62AF-8B30-3DB0-8F57-0934976B5B6F
"Clarke, Gary N.",Vehicula Risus Nulla Inc.,77584174199,Mayotte,AB,"-89.90613, -92.66182",-0.2095293002,298,FC10B2CA-04CD-2788-B731-D2F9FFC70DC6
"Santana, Bryar S.",Leo Cras Vehicula Consulting,70623560399,Sao Tome and Principe,Västra Götalands län,"-36.11385, 96.56252",-0.2520607904,373,CF965ECC-7319-C4C6-9E6B-95A2332194C1
"Oconnor, Zenaida V.",Aliquam Eu Accumsan Corporation,61727475199,Japan,Saarland,"-50.97851, 71.41526",0.3458158077,212,A7BEAA12-09C5-1487-A8D7-920A903613B7
"Jefferson, Whilemina F.",Quisque Varius LLP,16573338099,"Palestine, State of",Connacht,"-3.85079, 95.32457",0.0038078131,455,833CEEB1-B69C-0AEC-D125-19470A059374
"Walton, Talon G.",Sed Corporation,04746353499,Tokelau,Maule,"-53.75895, -85.72793",-0.3938887999,644,E70F8F57-5D59-E8CC-95E7-8C21E67A0F13
"Cummings, Davis X.",Mauris Eu Consulting,33290256099,Denmark,Lombardia,"-14.09299, -101.59492",-0.5691361374,956,71A845D2-9BA4-D20B-BABB-1B3C93335430
"Garza, Adam X.",Integer Id Consulting,10992872499,Rwanda,San José,"-25.82847, -162.54985",-0.0051837403,408,5988E30C-F09B-7AB6-6C20-D6F30B1A3C8D
"Phillips, Luke S.",Tellus Phasellus Elit LLC,11503992899,Trinidad and Tobago,Abruzzo,"-62.56857, 49.49909",-0.028066974,437,39CDDD0E-A343-7336-B388-9C7A8EABD96A
"Mullen, Zachary F.",Consectetuer Adipiscing Elit Corp.,74838226999,Antigua and Barbuda,Washington,"-40.55278, -11.2257",-0.0550545261,640,E7ECF4C7-B8E3-D3C1-1C08-1E83C1263891
"Mcknight, Nehru N.",Nonummy Industries,23474979399,Northern Mariana Islands,KD,"-43.62281, -57.54354",0.1419473627,579,E6F3454F-EAE2-7037-F89F-C45DA1CD1EF2
"Douglas, Bradley X.",Aenean Massa Corporation,46393896399,Falkland Islands,North Island,"-17.81349, 139.82343",0.2252059027,200,E558CEA2-54FD-AE10-C3ED-C7AAD63B489F
"Estrada, Mara L.",Mauris Limited,71341678099,Jordan,Andalucía,"48.47667, -128.60162",-0.6065069509,657,8E91C272-5953-8A9C-B641-8E3D6C1452B3
"Mcknight, Grady H.",Non Foundation,40821452799,Ghana,QC,"56.5992, 82.82135",-0.2940599533,709,B73546DF-8B27-8DBA-4DB3-7A686EB9FB46
"Sampson, Gavin C.",Cubilia Foundation,83987206999,Luxembourg,Vienna,"32.70795, 34.41508",0.4639009582,703,AF9E7B42-8C81-7557-D6E8-32CE31D3A3F5
"Lyons, Isadora J.",Integer Vulputate Risus Ltd,85900570199,Uzbekistan,RM,"43.76652, 141.11762",0.3899999867,904,DABBBAD6-2E1E-034E-94DC-7592C55E0EE6
