Name,Company,Organisation Number,Country,Region,GeoLoc,ND,CVV,HH
"Rice, Allistair F.",Sit LLP,10380617299,Grenada,Gelderland,"26.69677, -106.79088",0.2240681998,318,7B4630C4-F60F-8591-A065-F62B1AED218A
"Montgomery, Amanda D.",Sem Ut Cursus Corp.,48694764899,Azerbaijan,BR,"35.81123, 79.4087",-0.3352338288,523,52933687-9BF2-DF49-0B70-A06858FDF4B7
"Kent, Aidan S.",Consectetuer Adipiscing Elit LLC,21894778999,Pakistan,Katsina,"85.89824, 75.78681",0.1218099994,250,827EF060-D06E-87CE-5513-17C6A5D8D5CC
"Watkins, Lucius F.",Augue Ac Industries,06763236199,Holy See (Vatican City State),N.,"20.32126, -96.81363",-0.1598603223,270,C283BA2C-13AA-FF98-E2D6-DCEA588A82F0
"Preston, Nehru Z.",Ad Limited,47220981899,Norway,Antwerpen,"80.30552, -23.06792",0.1875944254,435,860F8FCE-0315-AC30-6042-83BBE1312FAD
"Ayala, Daquan Z.",Ridiculus Institute,62580767899,Gibraltar,Aydın,"-5.06749, 6.87003",-0.4238099177,487,833B6ECF-AA1D-11C4-DB59-35EA3F66886A
"Short, Imelda V.",Odio Sagittis LLP,69531915899,Grenada,LOM,"-71.82223, -86.43103",0.3653336826,737,7B1ACF48-2877-863E-A278-0E9F81418D9B
"Hanson, Oprah N.",Ligula Aenean LLP,16477905999,Russian Federation,Lorraine,"-25.01635, 47.61942",-0.4006851395,623,436633C7-1FC2-D6D3-0D80-5DD54456D09A
"Quinn, Gannon G.",Mauris Company,49659754799,Madagascar,LOM,"25.79687, 45.01774",0.1393618695,874,F7A73FD7-87A1-BAFB-749F-C32C2DF5F641
"Whitehead, Hector C.",Et Limited,58699936099,Guinea,PV,"15.85755, 124.77051",0.2339131336,713,3B7DA706-3451-5E21-D47B-0AA186EA52BE
"Lynch, Azalia D.",Congue Corporation,14794334899,Anguilla,DL,"65.2248, 146.94489",0.1934253191,571,0E291FB0-CCF4-AB56-897C-A1704C62D187
"Shields, Gage Y.",Nulla Inc.,59578311699,Saudi Arabia,Nord-Pas-de-Calais,"39.44727, 21.75793",0.2555209299,789,DB4FD4F1-9E1A-E5BD-68B3-175D6CCEEFA8
"Carrillo, Chase L.",Ante Iaculis Ltd,83956713499,Uruguay,Stockholms län,"-46.9083, -84.00332",0.2222532984,267,D7DC8BDA-693C-E2BC-2DA6-6FC187140C7F
"Alvarado, Lydia L.",Sociis Natoque LLC,14942074599,Bahrain,WB,"79.18648, -131.57575",-0.4880967997,963,A3B27967-4080-09F8-0723-180A9FE77D15
"Delacruz, Axel U.",Lectus Foundation,91652815499,Cayman Islands,Overijssel,"57.64549, 157.85971",-0.2858987384,850,5A3D7095-FAD0-A4EE-229B-C22035AC1C10
"Whitehead, Octavia H.",Sit Amet Luctus Consulting,28703664799,Saudi Arabia,Jönköpings län,"78.88428, 21.44813",0.0169741124,339,5D0DA7A0-AB1F-B62D-1F3A-1B74E836B0E2
"Ratliff, Sybill E.",Nunc Ullamcorper Eu Industries,81821050999,Cayman Islands,A,"82.35836, 168.82198",0.2860373817,266,926EDE0A-BDB9-8A92-D5DF-5E396423198A
"Garrett, Shea F.",Nec Inc.,42821084999,French Guiana,AK,"73.34591, -72.07432",0.1158823553,602,98310BEC-CDC0-E1F7-21ED-4078A0161C89
"Sanford, Duncan U.",Aliquam Foundation,86939640499,Nigeria,SP,"-61.45295, 178.73926",0.0269687425,956,71131E00-67D5-92E7-3063-92CD69EBB79C
"Talley, Venus U.",Sit Amet Faucibus Corp.,43255679299,France,Ist,"-6.38394, -87.35786",0.07145306,981,0CC4384B-566A-062D-53D3-1568365E6AC5
"Pearson, Alyssa F.",Maecenas PC,45607307099,Philippines,Quebec,"-76.87807, 4.79083",-0.2324107956,403,A9E5E783-3468-D0A6-6734-8DACD477E1E0
"Peterson, Cassandra K.",Enim LLP,04249654499,Hong Kong,NB,"-29.8025, -134.83532",-0.1808849166,371,CFBCFD59-6FFA-573C-69E5-AF3B1241DBD2
"Cooley, Perry M.",Enim Industries,23972696199,Argentina,Limón,"41.95002, -13.98959",0.0882877676,948,15D64320-1C98-D41F-31FD-1AE482BFDA6B
