Name,Company,Organisation Number,Country,Region,GeoLoc,ND,CVV,HH
"Phillips, Avram U.",Arcu Vestibulum Ltd,91539733199,Guyana,LU,"29.60165, -98.65437",0.1390071834,630,7DB96C36-7B14-1FB7-D8AD-76CE5757DDFB
"Zamora, Quinn F.",Nascetur Incorporated,73953048199,Liberia,Madrid,"26.65092, 36.31204",-0.3486778192,249,6550B573-15EF-CE44-C856-1D13485F7FF7
"Lee, Magee Z.",Ac PC,37318555199,Equatorial Guinea,ON,"34.11118, -33.8442",0.2794154425,435,9DF4743C-5601-48D6-3D69-FE9A6D300BC1
"Sims, Ahmed D.",Id Enim Curabitur Corp.,40308128499,Jamaica,Ontario,"65.47666, -81.88209",0.399212612,507,03E54B6A-4AD2-BF9E-D551-35F4C0F86607
"Britt, Latifah G.",Sed Eu LLC,48710384599,Cocos (Keeling) Islands,Hamburg,"-78.41573, 78.29021",0.0309836678,974,1735318F-5EEC-0C49-7159-D04DFB157A79
"Bradley, Jeremy F.",Diam Industries,96809831499,Barbados,E,"-84.3226, 117.65935",-0.615311325,930,5DE7BDBC-9AE6-D29C-765C-A94B02EC82B9
"Finch, Dakota T.",Eget Dictum Placerat PC,31896614499,Indonesia,OR,"89.25836, -174.1279",0.3284108365,468,2DC12E60-9ACA-3B2D-4C74-DCA5B2E13F44
"Kramer, Plato U.",Libero Foundation,79792081199,Uganda,NI,"4.72762, 62.45002",-0.0749341667,362,88117DD5-4F86-A79A-2A42-AB63AB45210D
"Simmons, Lenore K.",Ipsum Industries,15522497499,Cape Verde,N.,"-19.52775, 26.9559",0.2011205644,527,AB5C4BA4-543D-7487-D069-0C05453C7837
"Osborne, Germane Q.",Turpis Associates,87728556299,Honduras,Bremen,"-59.42245, 117.57794",0.2649818073,896,4903F8E0-5630-33B0-60DA-64D8A78D684A
"Wilcox, Patrick N.",Cras Lorem Lorem Ltd,71922382499,"Virgin Islands, British",Wie,"-58.07096, -126.67086",0.1867213994,910,485227D0-2A7B-3925-D4C2-FA6EFCE53271
"Fernandez, Meghan U.",Et Magnis Dis Incorporated,85882400499,Bhutan,Rio Grande do Sul,"24.99324, 116.65065",-0.06505445,706,42732778-D186-AE54-D225-CE7125FDD5C7
"Franklin, Oleg E.",Non Feugiat Nec Corp.,68613772599,Burundi,Northern Territory,"-0.17966, 132.70389",0.2709458391,910,AA4A10DA-815E-C928-3D26-A3375207F774
"Craig, Dominique F.",Tempor Company,03363098499,Bangladesh,Banffshire,"64.88549, 64.2076",0.013025941,306,44A5A735-4220-A722-5181-C4E3C3CDF0C7
"Mcdowell, Marshall Z.",Egestas Hendrerit Institute,03519549299,Cocos (Keeling) Islands,CA,"-3.55399, 162.07675",0.222739063,438,9FCBD916-4AD6-A797-E808-E3BC141BD6D7
"Sexton, Chaim F.",Ante Inc.,83830915499,Equatorial Guinea,RM,"40.265, -32.84202",0.437537994,305,0C855323-7CC3-FE3E-1B69-675F7BC61013
"Nolan, Sade I.",Habitant Limited,42585854099,Ecuador,Northwest Territories,"86.70542, -55.85046",-0.0944855588,681,E1D8A0CF-3C11-FAC3-1B9D-02852B337C8C
"Delaney, Nicole K.",Mauris LLC,05579217399,Chad,AB,"65.92116, 55.8016",0.233184206,624,CF776538-6EC8-B659-2565-BB8C1A97926D
"Joyce, Perry I.",Pharetra Limited,08493047899,Argentina,UT,"-56.83507, 140.43325",-0.4860527143,187,3CA2D559-4349-9C82-1F90-D9CBC17E8FBA
"Ballard, Omar F.",Non Justo Proin Ltd,14373360299,Saint Vincent and The Grenadines,Utrecht,"72.56365, -22.54603",0.0323415831,119,3C505030-69F7-1536-E6CD-DAB4EF7FC91D
"Colon, Aurelia A.",Augue Incorporated,24566082299,Brazil,Midi-Pyrénées,"-25.43091, -76.35995",0.143554189,820,61E3B955-64DC-CD8E-D9A5-8FE8AEEB0CAE
"Irwin, Hector G.",Amet Ultricies Institute,22758942999,Ireland,MP,"-38.78928, 3.65314",0.0790915119,213,56BE7672-D3FB-0AF1-D1D7-F0AB40142AC8
"Mays, Quin D.",Iaculis Limited,20770205099,Myanmar,Extremadura,"48.4469, -93.06997",0.041420874,230,1921F7E2-C691-5886-B064-798816D5796A
"Dominguez, Kyra J.",Nisl Elementum Purus Consulting,56639159799,Kiribati,Manitoba,"-69.23258, -141.88579",0.0083169193,808,86DCEF14-E125-5BEB-CA87-95F95B5F0FEF
"Vang, Uta O.",Sit Amet Limited,92281184899,Eritrea,NL,"-19.21179, -57.48691",0.2104610247,948,63F0A66F-9602-9D8E-BC04-A621D96A2B86
"Tyler, Vera H.",Non Foundation,27243039899,Djibouti,Vienna,"-56.73684, -170.3487",-0.2271212777,977,EBEF0978-7EC4-3620-B636-9AADB81614DE
"Nelson, Paula X.",Nonummy Ac Limited,65902805199,Spain,Molise,"-54.67853, -74.72328",-0.2371995049,123,2251C3E3-965A-073A-8DC5-C827FB7F0517
"Mckinney, Vivien C.",A Malesuada Inc.,47252902599,China,Heredia,"85.23731, -164.58938",0.2386109138,918,9304B6CC-D79C-405C-5AC1-54D820FE722D
"Lynn, Roary H.",Eros Nec Tellus Institute,36858773199,Angola,A,"-87.96614, 146.86831",0.3359390361,857,34F9B408-95E6-93FB-4787-B4E26A40D921
"Mathis, Flynn P.",Tincidunt Pede Ac Institute,71885958299,Equatorial Guinea,Bursa,"-31.98026, -153.35008",-0.3718784406,146,E302616F-9937-5B2A-B59F-6127A0935D2C
